Tipo Vehiculo,Marca,Modelo,Pais,Especificacion,Año,Valor
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 3.3T SPORT ADVANCED || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3300 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION:  RWD || ,2021,"$19,272.00"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 3.3T SPORT ADVANCED || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3300 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$20,074.40"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 3.3T SPORT PRESTIGE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3300 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION:  RWD || ,2021,"$20,475.20"
AUTOMOVIL,GENESIS,G70,COREA DEL SUR,SERIE: 3.3T SPORT PRESTIGE || COMBUSTIBLE: GASOLINA || CILINDROS: 6 || CC: 3300 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$21,239.20"
AUTOMOVIL,GENESIS,G80,COREA DEL SUR,SERIE:  2.5T  Sport Prestige ||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$26,581.20"
AUTOMOVIL,GENESIS,G80,COREA DEL SUR,SERIE:  3.5T  Sport Advanced ||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 3500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$26,448.00"
AUTOMOVIL,GENESIS,G80,COREA DEL SUR,SERIE:  3.5T  Sport Prestige  ||COMBUSTIBLE: GASOLINA||CILINDROS: 4||CC: 3500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$29,773.20"
AUTOMOVIL,GENESIS,G80,COREA DEL SUR,SERIE: 2.5T || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION:  RWD || ,2021,"$19,000.00"
AUTOMOVIL,GENESIS,G80,COREA DEL SUR,SERIE: 2.5T || COMBUSTIBLE: GASOLINA || CILINDROS: 4 || CC: 2500 || PASAJEROS: 5 || PUERTAS: 4 || TRACCION: AWD || ,2021,"$22,211.20"
AUTOMOVIL,GENESIS,G80,COREA DEL SUR,SERIE: 2.5T ADVANCED||COMBUSTIBLE: GASOLINA||CILINDRO: 4||CC: 2500||PASAJEROS: 5||PUERTAS: 4||TRACCION: AWD||,2021,"$24,335.20"
